VLASS1.1.T07t03.J015453-133000, 2017-11-12 04:09:49, 2017-11-12 04:42:33, 0:03:18
VLASS1.1.T07t03.J015502-143000, 2017-11-12 04:42:33, 2017-11-12 05:06:16, 0:03:06
VLASS1.1.T07t03.J015511-153000, 2017-11-12 05:00:02, 2017-11-12 05:31:52, 0:05:07
VLASS1.1.T07t03.J015824-123000, 2017-11-12 03:46:27, 2017-11-12 04:15:48, 0:03:32
VLASS1.1.T07t03.J015828-133000, 2017-11-12 04:09:36, 2017-11-12 04:42:48, 0:02:51
VLASS1.1.T07t03.J015833-143000, 2017-11-12 04:32:39, 2017-11-12 05:12:13, 0:04:30
VLASS1.1.T07t03.J015838-153000, 2017-11-12 04:59:55, 2017-11-12 05:31:44, 0:03:39
VLASS1.1.T07t07.J040202-123000, 2018-01-09 04:14:58, 2018-01-09 04:45:07, 0:03:54
VLASS1.1.T07t07.J040203-133000, 2018-01-09 03:48:49, 2018-01-09 04:21:14, 0:03:09
VLASS1.1.T07t07.J040203-143000, 2018-01-09 03:13:02, 2018-01-09 03:57:13, 0:05:04
VLASS1.1.T07t07.J040204-153000, 2018-01-09 02:52:12, 2018-01-09 03:25:20, 0:04:17
VLASS1.1.T07t07.J040608-123000, 2018-01-09 04:14:40, 2018-01-09 04:44:49, 0:04:44
VLASS1.1.T07t07.J040609-133000, 2018-01-09 03:43:20, 2018-01-09 04:21:56, 0:05:41
VLASS1.1.T07t07.J040611-143000, 2018-01-09 03:13:15, 2018-01-09 03:56:55, 0:06:11
VLASS1.1.T07t07.J040612-153000, 2018-01-09 02:52:25, 2018-01-09 03:25:33, 0:05:14
VLASS1.1.T07t07.J041013-123000, 2018-01-09 04:14:22, 2018-01-09 04:44:31, 0:04:44
VLASS1.1.T07t07.J041015-133000, 2018-01-09 03:43:38, 2018-01-09 04:22:14, 0:05:37
VLASS1.1.T07t07.J041018-143000, 2018-01-09 03:13:33, 2018-01-09 03:56:37, 0:06:04
VLASS1.1.T07t07.J041021-153000, 2018-01-09 02:52:44, 2018-01-09 03:25:51, 0:05:07
VLASS1.1.T07t07.J041418-123000, 2018-01-09 04:14:04, 2018-01-09 04:44:13, 0:04:43
VLASS1.1.T07t07.J041422-133000, 2018-01-09 03:43:56, 2018-01-09 04:22:32, 0:05:37
VLASS1.1.T07t07.J041425-143000, 2018-01-09 03:13:51, 2018-01-09 03:56:19, 0:06:05
